iter	Logloss
0	0.6882062292
1	0.6833362583
2	0.6793650717
3	0.6749333224
4	0.6712289669
5	0.6678959175
6	0.6637325469
7	0.6603739098
8	0.6558283216
9	0.6520094449
10	0.6487704879
11	0.6448670056
12	0.6415089692
13	0.6382274286
14	0.6342552521
15	0.6307291369
16	0.6266539852
17	0.6233725394
18	0.6207360668
19	0.6176408958
20	0.6143497253
21	0.6107245462
22	0.6077403344
23	0.6049605288
24	0.6026173801
25	0.5990723896
26	0.5962097715
27	0.5931749316
28	0.5901908674
29	0.5869914084
30	0.5845300563
31	0.5814707449
32	0.5792064235
33	0.5760067359
34	0.5738701003
35	0.5708922327
36	0.5689582035
37	0.5665376664
38	0.5647805226
39	0.5626682945
40	0.5606520545
41	0.558037068
42	0.5553995429
43	0.5530684736
44	0.550565487
45	0.5480386359
46	0.546161207
47	0.5445958059
48	0.5424940653
49	0.5401664543
50	0.5380989821
51	0.5364114867
52	0.5346947671
53	0.5329398213
54	0.53042303
55	0.5286150317
56	0.5270542401
57	0.5249790001
58	0.5231154552
59	0.5214072874
60	0.5198881664
61	0.5181861383
62	0.5166060204
63	0.5144884155
64	0.512807517
65	0.5112984204
66	0.5097458252
67	0.5079159548
68	0.5064650761
69	0.5048806761
70	0.5037279793
71	0.5018204449
72	0.5001337833
73	0.4988734986
74	0.4972038387
75	0.4963477055
76	0.4950823215
77	0.4939614552
78	0.4922482561
79	0.4909538525
80	0.4897952606
81	0.4883191364
82	0.4868269001
83	0.4856814152
84	0.4846131469
85	0.4835217572
86	0.4819485822
87	0.4804464429
88	0.4791505745
89	0.4776950255
90	0.4765374238
91	0.4754083858
92	0.4746260718
93	0.4735952208
94	0.4720488646
95	0.4714043041
96	0.4702238406
97	0.4693229731
98	0.4683959867
99	0.4672431996
100	0.4663040836
101	0.4651251727
102	0.4642335867
103	0.4632577034
104	0.4626932435
105	0.4614032213
106	0.4604443115
107	0.4595937546
108	0.4583883634
109	0.4571914825
110	0.4564264525
111	0.4552429667
112	0.4545395854
113	0.4537605121
114	0.4528874961
115	0.4517638728
116	0.4508566992
117	0.4499522797
118	0.4488044782
119	0.4481141026
120	0.4470092667
121	0.4461147469
122	0.4454484226
123	0.4448555073
124	0.4440598539
125	0.4429717036
126	0.4422752662
127	0.4412618721
128	0.4404252163
129	0.4393434066
130	0.4383921252
131	0.4372939596
132	0.436612394
133	0.4358484096
134	0.4350766966
135	0.4344713684
136	0.4336278938
137	0.4326746662
138	0.4318732631
139	0.4312704941
140	0.4302484093
141	0.4293141419
142	0.4284264528
143	0.4273967997
144	0.4266564458
145	0.4258886356
146	0.4252254543
147	0.4242916979
148	0.4235437087
149	0.422886323
150	0.4221275689
151	0.421292732
152	0.4209758463
153	0.420179482
154	0.4195460338
155	0.4185352322
156	0.4178249385
157	0.4171001332
158	0.4164648432
159	0.4159165337
160	0.4154317984
161	0.4148605713
162	0.4139083149
163	0.4132849053
164	0.4125261622
165	0.4121342918
166	0.4114494496
167	0.410629899
168	0.4100604547
169	0.4094619118
170	0.4089125368
171	0.4084171727
172	0.407978091
173	0.4073763691
174	0.4067740496
175	0.4060688194
176	0.4056617537
177	0.4052650001
178	0.4045466518
179	0.4040180379
180	0.4032927893
181	0.4025447218
182	0.4020299524
183	0.401321751
184	0.4008155425
185	0.4002039324
186	0.3995937654
187	0.3990397813
188	0.398566788
189	0.3982542328
190	0.3976088723
191	0.3972063043
192	0.3968419801
193	0.3962193003
194	0.3956567577
195	0.3953046906
196	0.394612751
197	0.3940000265
198	0.3934638396
199	0.3929426674
200	0.3925437197
201	0.3921451017
202	0.391592434
203	0.3910873025
204	0.3908164567
205	0.3900091255
206	0.3896564075
207	0.3891769405
208	0.3883885964
209	0.3879825145
210	0.3872861188
211	0.3868006535
212	0.3863996688
213	0.3859866952
214	0.3856921408
215	0.3850217799
216	0.3845675415
217	0.3839154056
218	0.3835374163
219	0.3830437503
220	0.3824606469
221	0.3817686906
222	0.3813743128
223	0.3809645087
224	0.380467241
225	0.3799106635
226	0.3795429117
227	0.3793064917
228	0.3788619747
229	0.3781001171
230	0.377806997
231	0.3773234041
232	0.3767630562
233	0.3762727637
234	0.3758412161
235	0.3756331084
236	0.3751623831
237	0.3747568231
238	0.3743568259
239	0.3741120942
240	0.3736347134
241	0.3732674308
242	0.3730433114
243	0.3727060277
244	0.3722746393
245	0.3718871589
246	0.3712184708
247	0.370886741
248	0.370531902
249	0.3701765062
250	0.3698888047
251	0.3695933456
252	0.369335221
253	0.3689178941
254	0.3685172723
255	0.368060381
256	0.3675430525
257	0.3670061589
258	0.3665754054
259	0.3663672918
260	0.3659470739
261	0.3656853729
262	0.3652436163
263	0.364939196
264	0.3647224658
265	0.3642936745
266	0.3639400387
267	0.3634655587
268	0.3630725965
269	0.3625445132
270	0.3621291587
271	0.3617104845
272	0.3612011454
273	0.360968385
274	0.3607384759
275	0.3604365207
276	0.3600175193
277	0.359647113
278	0.3591505892
279	0.3588415614
280	0.3583300406
281	0.358143866
282	0.3579045134
283	0.3574779156
284	0.3567273449
285	0.3562706617
286	0.3559343785
287	0.3554900157
288	0.3550346708
289	0.3548543392
290	0.3545091596
291	0.3541637315
292	0.3538770714
293	0.3534702208
294	0.3532170294
295	0.3529302289
296	0.3526732511
297	0.3520415744
298	0.3518935493
299	0.3515187112
300	0.3511934591
301	0.3509653638
302	0.350751579
303	0.3504455472
304	0.3502394918
305	0.349919233
306	0.3496424123
307	0.3493280742
308	0.3490211688
309	0.3488512731
310	0.3486867208
311	0.3482211014
312	0.3478551516
313	0.347523977
314	0.3468586172
315	0.3466516986
316	0.3464378876
317	0.3460318488
318	0.3457934793
319	0.3452794717
320	0.3448998093
321	0.3446563299
322	0.3442157888
323	0.3439865082
324	0.343656343
325	0.3434871735
326	0.3430897831
327	0.3429398861
328	0.3426057471
329	0.3423720913
330	0.342085265
331	0.3418435235
332	0.3416307423
333	0.3414259657
334	0.341054601
335	0.3405383079
336	0.3402530744
337	0.3400348688
338	0.339735182
339	0.3392552526
340	0.3389385385
341	0.3386132413
342	0.3382558673
343	0.3378325146
344	0.3375174863
345	0.3372253707
346	0.336970373
347	0.3367384029
348	0.3364180683
349	0.3360255961
350	0.3358516244
351	0.3355128848
352	0.3351788178
353	0.3349088829
354	0.3345731275
355	0.3341197133
356	0.3338113156
357	0.3336092168
358	0.3330280466
359	0.3326041083
360	0.3321917917
361	0.3318535698
362	0.3316937914
363	0.3315289852
364	0.3313449216
365	0.3308709663
366	0.3305145084
367	0.3300776267
368	0.3300066098
369	0.3296440352
370	0.3292446836
371	0.3289356914
372	0.3286370466
373	0.3283519667
374	0.3281294135
375	0.3278032515
376	0.3276364881
377	0.327271533
378	0.3270958135
379	0.3268886977
380	0.3265385144
381	0.3262930863
382	0.3260459597
383	0.3257653486
384	0.3254871551
385	0.3252162235
386	0.3249563041
387	0.324611845
388	0.3244004872
389	0.3240068473
390	0.3237131996
391	0.3234999514
392	0.3231873096
393	0.3230202595
394	0.3228156435
395	0.3225281217
396	0.322106608
397	0.3218651858
398	0.3214839949
399	0.3212135074
400	0.3209476543
401	0.3205445271
402	0.3203725643
403	0.3203249542
404	0.3200846223
405	0.3198599524
406	0.3196744088
407	0.3191225273
408	0.3188403383
409	0.3187469168
410	0.3185690831
411	0.3183467467
412	0.3179737946
413	0.3177457102
414	0.3173068117
415	0.3166941059
416	0.3165237558
417	0.3162649273
418	0.3159952942
419	0.3157125007
420	0.315534198
421	0.3152129724
422	0.3150131431
423	0.3148342384
424	0.3146694648
425	0.3144633062
426	0.3141481795
427	0.3138591434
428	0.3136982299
429	0.3133421654
430	0.3130966823
431	0.3127752405
432	0.3124717947
433	0.3123313503
434	0.3120525379
435	0.3119625975
436	0.3117182074
437	0.3115481921
438	0.3112667784
439	0.3111237105
440	0.3109744111
441	0.3106730218
442	0.3105063049
443	0.3103736368
444	0.3100241898
445	0.3097002028
446	0.3095225877
447	0.3090793874
448	0.3087606779
449	0.3085448493
450	0.3083476205
451	0.3082788615
452	0.3079036181
453	0.3077585295
454	0.3075566728
455	0.3073990721
456	0.3072179224
457	0.3070064345
458	0.3067335293
459	0.3065554346
460	0.3063982672
461	0.3061187553
462	0.3055609521
463	0.305399203
464	0.3051683508
465	0.3048397406
466	0.3046869577
467	0.304468935
468	0.3042446358
469	0.3039564553
470	0.3037883952
471	0.3036870897
472	0.3034582122
473	0.3032683253
474	0.3030255738
475	0.3027126129
476	0.3025690575
477	0.3022943273
478	0.3019028369
479	0.3015086862
480	0.3011866353
481	0.3009736208
482	0.3006856526
483	0.3004190728
484	0.3002563313
485	0.2999075887
486	0.2996567414
487	0.2994045203
488	0.2991741811
489	0.2987984542
490	0.2985591159
491	0.2983727357
492	0.298046276
493	0.2978885883
494	0.2974632283
495	0.2972733087
496	0.2971450672
497	0.2969769315
498	0.2968774995
499	0.2967479334
500	0.2965783072
501	0.2962451272
502	0.2959717383
503	0.2956373757
504	0.2953324124
505	0.2951278923
506	0.2947064107
507	0.2945064616
508	0.2943864405
509	0.2942154256
510	0.294011825
511	0.2936131991
512	0.2931917661
513	0.2929797975
